Name,Gruppe,Jahr,Standort
Maiden's Blush,Rosa alba,vor 1500,B2
White Provence,Rosa centifolia,1775,B2
Bullata,Rosa centifolia,vor 1600,B2
Shailor's White Moss,Rosa centifolia muscosa,1788,B2
Duc de Guiche,Rosa gallica,1811,B2
Ornament de la Nature,Rosa gallica,1814,B2
Surpasse Tout,Rosa gallica,1817,B2
Essigrose,Rosa gallica,Europäische Wildrose,B2
Moschus-Rose,Rosa moschata,1651,B2
Duchesse of Portland,Rosa portlandica,1790,B2
Tuscany,Rosa gallica,1596,B2
Tuscany,Rosa gallica,1596,B4
Rose des Peintres,Rosa centifolia,vor 1600 ,B3
Parvifolia,Rosa centifolia,vor 1664,B3
Centifolia major,Rosa centifolia,,B3
Common Moss,Rosa centifolia muscosa,vor 1720,B3
Quatres Saisons,Rosa damascena,Antike,B3
York and Lancaster,Rosa damascena ,vor 1551,B3
Aimable Rouge,Rosa gallica,1811,B3
La Belle Sultane,Rosa gallica,1750,B3
The Bishop,Rosa gallica,1790,B3
Charles de Mills,Rosa gallica,vor 1790,B3
Hibernica,Hundsrosen-Hybride,1802,B4
Celsiana,Rosa damascena,vor 1750,B4
Fuchsrose,Rosa foetida,vor 1600 Wildrose aus Persien,B4
Rosa Mundi,Rosa gallica 'Versicolor',1581,B4
Duchesse of Portland,Rosa portlandica,1790,B4
Old Blush,Chinarosen,1789,B4
Old Blush,Chinarosen,1789,B3
Dupontii,Gallica x Moschata-Hybride,1817,A7 KiGa
The Garland,Moschata x Multiflora,1835,Willibald Höhenweg
